window_id,window_label,window_index,window_start,window_end,window_total_days,posts_in_window,recency_low_threshold,recency_high_threshold,recency_low_rule,recency_mid_rule,recency_high_rule,frequency_low_rule,frequency_mid_rule,frequency_high_rule,engagement_low_rule,engagement_mid_rule,engagement_high_rule
w17,2024-05 to 2024-08,17,2024-05-01,2024-08-31,123,50,13.0,27.0,Low if recency <= 13.00,Medium if 13.00 < recency <= 27.00,High if recency > 27.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w18,2024-06 to 2024-09,18,2024-06-01,2024-09-30,122,46,18.0,27.0,Low if recency <= 18.00,Medium if 18.00 < recency <= 27.00,High if recency > 27.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w19,2024-07 to 2024-10,19,2024-07-01,2024-10-31,123,43,13.0,32.0,Low if recency <= 13.00,Medium if 13.00 < recency <= 32.00,High if recency > 32.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w20,2024-08 to 2024-11,20,2024-08-01,2024-11-30,122,40,12.0,23.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w21,2024-09 to 2024-12,21,2024-09-01,2024-12-31,122,37,13.0,24.0,Low if recency <= 13.00,Medium if 13.00 < recency <= 24.00,High if recency > 24.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w22,2024-10 to 2025-01,22,2024-10-01,2025-01-31,123,35,11.0,24.0,Low if recency <= 11.00,Medium if 11.00 < recency <= 24.00,High if recency > 24.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w23,2024-11 to 2025-02,23,2024-11-01,2025-02-28,120,37,15.0,24.0,Low if recency <= 15.00,Medium if 15.00 < recency <= 24.00,High if recency > 24.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w24,2024-12 to 2025-03,24,2024-12-01,2025-03-31,121,41,10.0,31.0,Low if recency <= 10.00,Medium if 10.00 < recency <= 31.00,High if recency > 31.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w25,2025-01 to 2025-04,25,2025-01-01,2025-04-30,120,44,9.0,25.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 25.00,High if recency > 25.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w26,2025-02 to 2025-05,26,2025-02-01,2025-05-31,120,49,12.0,23.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w27,2025-03 to 2025-06,27,2025-03-01,2025-06-30,122,49,4.0,25.0,Low if recency <= 4.00,Medium if 4.00 < recency <= 25.00,High if recency > 25.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w28,2025-04 to 2025-07,28,2025-04-01,2025-07-31,122,51,12.0,25.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 25.00,High if recency > 25.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w29,2025-05 to 2025-08,29,2025-05-01,2025-08-31,123,49,15.0,26.0,Low if recency <= 15.00,Medium if 15.00 < recency <= 26.00,High if recency > 26.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w30,2025-06 to 2025-09,30,2025-06-01,2025-09-30,122,44,6.0,27.0,Low if recency <= 6.00,Medium if 6.00 < recency <= 27.00,High if recency > 27.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w31,2025-07 to 2025-10,31,2025-07-01,2025-10-31,123,39,10.0,21.0,Low if recency <= 10.00,Medium if 10.00 < recency <= 21.00,High if recency > 21.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w32,2025-08 to 2025-11,32,2025-08-01,2025-11-30,122,34,9.0,19.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 19.00,High if recency > 19.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w33,2025-09 to 2025-12,33,2025-09-01,2025-12-31,122,35,12.0,23.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w34,2025-10 to 2026-01,34,2025-10-01,2026-01-31,123,44,18.0,31.0,Low if recency <= 18.00,Medium if 18.00 < recency <= 31.00,High if recency > 31.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w35,2025-11 to 2026-02,35,2025-11-01,2026-02-28,120,52,14.0,36.0,Low if recency <= 14.00,Medium if 14.00 < recency <= 36.00,High if recency > 36.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w36,2025-12 to 2026-03,36,2025-12-01,2026-03-31,121,54,17.0,38.0,Low if recency <= 17.00,Medium if 17.00 < recency <= 38.00,High if recency > 38.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
